Player2,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Position
B.BUTLER,Brice Butler,ARI,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
B.ELLINGTON,Bruce Ellington,HOU,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
B.ALLEN,Buck Allen,BAL,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.RIDLEY,Calvin Ridley,ATL,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.NEWTON,Cam Newton,CAR,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.ARTIS-PAYNE,Cameron Artis-Payne,CAR,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.BRATE,Cameron Brate,TB,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.MEREDITH,Cameron Meredith,NO,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.HENDERSON,Carlos Henderson,DEN,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.HYDE,Carlos Hyde,CLE,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
C.WENTZ,Carson Wentz,PHI,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.KEENUM,Case Keenum,DEN,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
C.WEST,Charcandrick West,KC,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.CLAY,Charles Clay,BUF,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.SIMS,Charles Sims,TB,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.EDMONDS,Chase Edmonds,ARI,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.ROGERS,Chester Rogers,IND,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.CARSON,Chris Carson,SEA,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.CONLEY,Chris Conley,KC,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.GODWIN,Chris Godwin,TB,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.HOGAN,Chris Hogan,NE,WR1,WR1,WR1,WR1,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.IVORY,Chris Ivory,BUF,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.MANHERTZ,Chris Manhertz,CAR,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
C.THOMPSON,Chris Thompson,WAS,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.KIRK,Christian Kirk,ARI,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
C.MCCAFFREY,Christian McCaffrey,CAR,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
C.ANDERSON,CJ Anderson,CAR,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.PROSISE,CJ Prosise,SEA,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.WALFORD,Clive Walford,NYJ,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
C.LATIMER,Cody Latimer,NYG,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.BEASLEY,Cole Beasley,DAL,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.KUPP,Cooper Kupp,LAR,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.PATTERSON,Cordarrelle Patterson,NE,WR3,WR3,WR3,WR3,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
C.CLEMENT,Corey Clement,PHI,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
C.COLEMAN,Corey Coleman,CLE,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
C.DAVIS,Corey Davis,TEN,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
C.GRANT,Corey Grant,JAC,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
C.SUTTON,Courtland Sutton,DEN,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
D.PRESCOTT,Dak Prescott,DAL,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.GOEDERT,Dallas Goedert,PHI,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.COOK,Dalvin Cook,MIN,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.AMENDOLA,Danny Amendola,MIA,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.PETTIS,Dante Pettis,SF,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.FELLS,Darren Fells,CLE,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.SPROLES,Darren Sproles,PHI,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.HEYWARD-BEY,Darrius Heyward-Bey,PIT,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.FOUNTAIN,Daurice Fountain,IND,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.ADAMS,Davante Adams,GB,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FLUELLEN,David Fluellen,TEN,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.JOHNSON,David Johnson,ARI,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.MORGAN,David Morgan,MIN,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.NJOKU,David Njoku,CLE,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
D.HOPKINS,DeAndre Hopkins,HOU,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.WASHINGTON,DeAndre Washington,OAK,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.HENDERSON,De'Angelo Henderson,DEN,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.YANCEY,DeAngelo Yancey,GB,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.WESTBROOK,Dede Westbrook,JAC,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
D.WALKER,Delanie Walker,TEN,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
D.ROBINSON,Demarcus Robinson,KC,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
D.THOMAS,Demaryius Thomas,DEN,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.HARRIS,Demetrius Harris,KC,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.CARR,Derek Carr,OAK,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.HENRY,Derrick Henry,TEN,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
D.GUICE,Derrius Guice,WAS,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.JACKSON,DeSean Jackson,TB,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
D.WATSON,Deshaun Watson,HOU,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.PARKER,DeVante Parker,MIA,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FUNCHESS,Devin Funchess,CAR,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.FREEMAN,Devonta Freeman,ATL,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.BOOKER,Devontae Booker,DEN,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.LEWIS,Dion Lewis,TEN,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
D.SIMS,Dion Sims,CHI,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
D.FOSTER,DJ Foster,ARI,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
D.MOORE,DJ Moore,CAR,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
D.FOREMAN,D'Onta Foreman,HOU,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
D.MONCRIEF,Donte Moncrief,JAC,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
D.BALDWIN,Doug Baldwin,SEA,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
D.MARTIN,Doug Martin,OAK,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
D.BREES,Drew Brees,NO,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
D.JOHNSON,Duke Johnson,CLE,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
D.ALLEN,Dwayne Allen,NE,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
E.DICKSON,Ed Dickson,SEA,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
E.MANNING,Eli Manning,NYG,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
E.MCGUIRE,Elijah McGuire,NYJ,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
E.SANDERS,Emmanuel Sanders,DEN,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
E.EBRON,Eric Ebron,IND,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
E.TOMLINSON,Eric Tomlinson,NYJ,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
E.ENGRAM,Evan Engram,NYG,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
E.ELLIOTT,Ezekiel Elliott,DAL,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
F.GORE,Frank Gore,MIA,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
G.HOLMES,Gabe Holmes,ARI,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
G.CELEK,Garrett Celek,SF,TE2,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
G.SWAIM,Geoff Swaim,DAL,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
G.KITTLE,George Kittle,SF,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
G.EVERETT,Gerald Everett,LAR,TE2,TE2,TE2,TE2,TE2,,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE2,TE
G.ALLISON,Geronimo Allison,GB,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
G.BERNARD,Giovani Bernard,CIN,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
G.TATE,Golden Tate,DET,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
G.OLSEN,Greg Olsen,CAR,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
H.HURST,Hayden Hurst,BAL,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
I.CROWELL,Isaiah Crowell,NYJ,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
I.SMITH,Ito Smith,ATL,RB3,RB3,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
J.DOYLE,Jack Doyle,IND,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
J.WILLIAMS,Jamaal Williams,GB,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
J.WINSTON,Jameis Winston,TB,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
J.CONNER,James Conner,PIT,RB2,RB2,RB2,RB2,RB2,RB2,,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB2,RB
J.WASHINGTON,James Washington,PIT,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
J.WHITE,James White,NE,RB3,RB3,RB3,RB3,RB3,,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB3,RB
J.CROWDER,Jamison Crowder,WAS,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
J.COOK,Jared Cook,OAK,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
J.GOFF,Jared Goff,LAR,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
J.WRIGHT,Jarius Wright,CAR,WR4,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
J.BROWN,Jaron Brown,SEA,WR4,WR4,WR4,WR4,WR4,WR4,,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR4,WR
J.LANDRY,Jarvis Landry,CLE,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR1,WR
J.AJAYI,Jay Ajayi,PHI,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
J.HEUERMAN,Jeff Heuerman,DEN,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
J.KERLEY,Jeremy Kerley,BUF,WR3,WR3,WR3,WR3,WR3,WR3,WR3,,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR3,WR
J.MCKINNON,Jerick McKinnon,SF,RB1,RB1,RB1,RB1,RB1,RB1,,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB1,RB
J.KEARSE,Jermaine Kearse,NYJ,WR2,WR2,WR2,WR2,WR2,,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR2,WR
J.JAMES,Jesse James,PIT,TE1,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
J.GAROPPOLO,Jimmy Garoppolo,SF,QB1,QB1,QB1,QB1,QB1,QB1,,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB1,QB
J.GRAHAM,Jimmy Graham,GB,TE1,TE1,TE1,TE1,TE1,,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE1,TE
